date,opening_price,highest_price,lowest_price,closing_price
2013-08-08,1548.41,1561.34,1538.61,1544.62
2013-08-09,1554.76,1562.25,1533.22,1553.04
2013-08-12,1560.16,1610.81,1557.56,1610.26
2013-08-13,1610.79,1621.89,1602.93,1619.74
2013-08-14,1622.21,1643.0,1605.28,1610.22
2013-08-15,1608.62,1624.34,1593.69,1595.15
2013-08-16,1590.92,1711.43,1573.72,1592.79
2013-08-19,1576.57,1617.33,1574.02,1608.87
2013-08-20,1603.39,1628.68,1588.22,1594.54
2013-08-21,1601.3,1602.94,1575.46,1588.08
2013-08-22,1582.33,1606.35,1578.31,1582.62
2013-08-23,1591.75,1595.94,1543.0,1566.29
2013-08-26,1573.22,1604.25,1566.02,1601.38
2013-08-27,1598.74,1609.06,1589.05,1602.0
2013-08-28,1591.35,1603.95,1577.49,1592.87
2013-08-29,1604.28,1607.02,1580.81,1588.15
2013-08-30,1586.52,1599.87,1575.77,1589.78
2013-09-02,1594.99,1601.14,1579.72,1591.93
2013-09-03,1596.47,1615.13,1591.21,1614.54
2013-09-04,1612.5,1620.15,1608.9,1613.54
2013-09-05,1615.53,1616.7,1606.31,1609.6
2013-09-06,1604.77,1630.29,1604.2,1625.85
2013-09-09,1643.18,1720.03,1643.18,1713.38
2013-09-10,1720.39,1738.35,1704.64,1737.58
2013-09-11,1745.5,1765.94,1736.18,1741.32
2013-09-12,1741.49,1798.96,1726.1,1772.66
2013-09-13,1764.03,1776.5,1742.98,1749.24
2013-09-16,1763.92,1765.47,1722.67,1738.25
2013-09-17,1744.38,1748.71,1697.11,1698.63
2013-09-18,1698.61,1710.47,1680.68,1700.59
2013-09-23,1707.9,1716.09,1694.94,1713.08
2013-09-24,1709.99,1710.11,1660.22,1673.56
2013-09-25,1671.54,1687.13,1658.02,1661.61
2013-09-26,1658.18,1658.18,1629.9,1632.69
2013-09-27,1630.69,1641.01,1624.87,1639.15
2013-09-30,1648.15,1653.24,1634.93,1643.06
2013-10-08,1637.97,1664.21,1622.59,1659.71
2013-10-09,1653.09,1673.04,1647.38,1668.48
2013-10-10,1670.79,1671.1,1635.27,1637.93
2013-10-11,1649.85,1672.02,1644.51,1669.27
2013-10-14,1670.73,1671.51,1656.73,1662.17
2013-10-15,1665.63,1666.97,1646.65,1656.26
2013-10-16,1652.59,1652.59,1626.26,1634.22
2013-10-17,1642.33,1647.24,1625.47,1627.18
2013-10-18,1630.55,1647.77,1628.09,1636.8
2013-10-21,1640.28,1659.57,1626.55,1657.58
2013-10-22,1656.64,1656.64,1636.19,1640.07
2013-10-23,1646.93,1670.0,1634.91,1638.5
2013-10-24,1633.93,1640.62,1618.61,1621.6
2013-10-25,1622.01,1635.84,1601.66,1611.52
2013-10-28,1614.68,1616.98,1600.8,1610.69
2013-10-29,1615.43,1655.93,1606.34,1633.72
2013-10-30,1634.28,1654.39,1624.53,1653.42
2013-10-31,1645.12,1645.12,1629.29,1631.05
2013-11-01,1633.03,1650.53,1628.12,1644.75
2013-11-04,1654.11,1659.76,1635.34,1638.51
2013-11-05,1629.79,1637.44,1611.24,1633.66
2013-11-06,1623.85,1630.83,1613.36,1614.21
2013-11-07,1615.51,1619.37,1601.6,1610.58
2013-11-08,1603.22,1613.41,1585.62,1587.44
2013-11-11,1587.59,1596.47,1579.38,1591.14
2013-11-12,1595.65,1611.54,1595.65,1610.78
2013-11-13,1599.0,1599.19,1568.16,1569.24
2013-11-14,1571.6,1574.58,1559.57,1572.73
2013-11-15,1573.91,1622.85,1573.68,1604.82
2013-11-18,1618.16,1676.87,1610.04,1675.16
2013-11-19,1674.72,1675.88,1656.44,1659.53
2013-11-20,1671.55,1676.46,1652.39,1663.76
2013-11-21,1654.45,1654.45,1626.08,1648.09
2013-11-22,1651.94,1655.65,1637.99,1642.5
2013-11-25,1633.84,1659.33,1628.91,1633.78
2013-11-26,1633.84,1641.38,1628.7,1630.94
2013-11-27,1630.48,1657.78,1627.89,1648.79
2013-11-28,1651.63,1680.82,1648.96,1664.62
2013-11-29,1668.95,1671.44,1656.73,1661.41
2013-12-02,1662.39,1695.63,1655.0,1678.87
2013-12-03,1672.2,1686.36,1663.62,1681.51
2013-12-04,1678.96,1709.58,1674.99,1699.18
2013-12-05,1700.53,1703.13,1689.39,1692.38
2013-12-06,1688.02,1692.09,1669.64,1675.25
2013-12-09,1681.21,1687.53,1666.34,1669.87
2013-12-10,1673.52,1679.45,1664.03,1670.55
2013-12-11,1662.09,1662.25,1632.73,1639.18
2013-12-12,1634.47,1641.97,1628.62,1631.91
2013-12-13,1617.31,1631.56,1614.97,1626.41
2013-12-16,1627.1,1631.09,1601.69,1602.46
2013-12-17,1604.71,1607.43,1593.43,1597.27
2013-12-18,1596.64,1606.64,1592.91,1598.68
2013-12-19,1605.64,1609.07,1578.92,1580.11
2013-12-20,1580.91,1583.41,1534.1,1537.41
2013-12-23,1541.37,1553.56,1528.65,1541.27
2013-12-24,1547.2,1557.23,1528.16,1539.6
2013-12-25,1542.04,1547.86,1533.64,1547.36
2013-12-26,1543.87,1543.87,1522.59,1524.88
2013-12-27,1528.35,1559.82,1524.19,1550.22
2013-12-30,1557.51,1560.11,1544.11,1547.92
2013-12-31,1541.58,1578.24,1539.88,1574.78
2014-01-02,1570.05,1570.05,1553.48,1561.1
2014-01-03,1553.45,1554.52,1529.15,1536.07
2014-01-06,1534.5,1534.5,1498.6,1512.93
2014-01-07,1500.98,1515.64,1497.78,1510.65
2014-01-08,1512.09,1527.89,1504.43,1515.33
2014-01-09,1511.98,1525.73,1500.57,1503.88
2014-01-10,1500.01,1506.78,1493.5,1498.27
2014-01-13,1500.86,1510.32,1489.23,1494.61
2014-01-14,1493.89,1505.46,1482.91,1499.29
2014-01-15,1496.83,1498.9,1480.18,1488.51
2014-01-16,1489.05,1504.43,1482.76,1493.09
2014-01-17,1487.8,1489.6,1470.87,1475.67
2014-01-20,1472.39,1476.88,1459.45,1464.84
2014-01-21,1467.15,1488.71,1467.15,1478.88
2014-01-22,1480.84,1514.79,1478.08,1514.12
2014-01-23,1511.79,1514.97,1496.66,1499.03
2014-01-24,1493.69,1514.11,1491.02,1502.06
2014-01-27,1491.83,1491.83,1475.5,1478.87
2014-01-28,1483.41,1492.43,1477.25,1487.8
2014-01-29,1493.21,1498.57,1488.7,1494.49
2014-01-30,1489.51,1489.72,1475.77,1477.35
2014-02-07,1467.36,1475.72,1458.49,1475.34
2014-02-10,1480.59,1507.36,1480.53,1505.83
2014-02-11,1505.66,1536.46,1500.84,1528.32
2014-02-12,1528.88,1537.89,1521.27,1527.0
2014-02-13,1525.52,1548.62,1519.38,1528.02
2014-02-14,1527.21,1536.36,1525.15,1534.24
2014-02-17,1545.18,1549.91,1529.19,1538.1
2014-02-18,1535.89,1535.89,1505.42,1508.54
2014-02-19,1507.49,1541.45,1504.95,1533.4
2014-02-20,1537.94,1556.42,1519.36,1520.14
2014-02-21,1517.92,1521.77,1496.09,1505.33
2014-02-24,1492.28,1492.28,1458.17,1468.06
2014-02-25,1469.26,1475.97,1437.01,1440.89
2014-02-26,1434.86,1447.17,1429.61,1444.2
2014-02-27,1449.14,1462.12,1437.64,1452.46
2014-02-28,1447.77,1467.1,1437.31,1464.32
2014-03-03,1459.86,1467.71,1452.13,1462.69
2014-03-04,1458.68,1460.61,1448.69,1455.65
2014-03-05,1466.01,1466.96,1445.67,1448.33
2014-03-06,1446.57,1466.03,1435.94,1459.51
2014-03-07,1456.09,1472.08,1451.71,1455.58
2014-03-10,1442.98,1442.99,1407.49,1408.87
2014-03-11,1406.07,1420.9,1403.31,1412.73
2014-03-12,1408.05,1429.3,1403.28,1418.7
